Modified_enzyme	Core_enzyme	Modifications	Source
EG50003-MONOMER_mod_pan4p_mod_hex	EG50003-MONOMER	pan4p() AND hex()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3hhex	EG50003-MONOMER	pan4p() AND 3hhex()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_pim	EG50003-MONOMER	pan4p() AND pim()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_epme	EG50003-MONOMER	pan4p() AND epme()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_opme	EG50003-MONOMER	pan4p() AND opme()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_pme	EG50003-MONOMER	pan4p() AND pme()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_hpme	EG50003-MONOMER	pan4p() AND hpme()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_toct2e	EG50003-MONOMER	pan4p() AND toct2e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3ooct	EG50003-MONOMER	pan4p() AND 3ooct()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_oc	EG50003-MONOMER	pan4p() AND oc()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3hoct	EG50003-MONOMER	pan4p() AND 3hoct()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_tdec2e	EG50003-MONOMER	pan4p() AND tdec2e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_cdec3e	EG50003-MONOMER	pan4p() AND cdec3e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3odec	EG50003-MONOMER	pan4p() AND 3odec()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_dca	EG50003-MONOMER	pan4p() AND dca()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3hdec	EG50003-MONOMER	pan4p() AND 3hdec()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_t3c5ddece	EG50003-MONOMER	pan4p() AND t3c5ddece()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3ocddec5e	EG50003-MONOMER	pan4p() AND 3ocddec5e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_tddec2e	EG50003-MONOMER	pan4p() AND tddec2e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_cddec5e	EG50003-MONOMER	pan4p() AND cddec5e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3oddec	EG50003-MONOMER	pan4p() AND 3oddec()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3hcddec5e	EG50003-MONOMER	pan4p() AND 3hcddec5e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_ddca	EG50003-MONOMER	pan4p() AND ddca()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3hddec	EG50003-MONOMER	pan4p() AND 3hddec()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_t3c7mrse	EG50003-MONOMER	pan4p() AND t3c7mrse()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3ocmrs7e	EG50003-MONOMER	pan4p() AND 3ocmrs7e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_tde	EG50003-MONOMER	pan4p() AND tde()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_tmrs2e	EG50003-MONOMER	pan4p() AND tmrs2e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3omrs	EG50003-MONOMER	pan4p() AND 3omrs()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3hcmrs7e	EG50003-MONOMER	pan4p() AND 3hcmrs7e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_myrs	EG50003-MONOMER	pan4p() AND myrs()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3hmrs	EG50003-MONOMER	pan4p() AND 3hmrs()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_t3c9palme	EG50003-MONOMER	pan4p() AND t3c9palme()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3ocpalm9e	EG50003-MONOMER	pan4p() AND 3ocpalm9e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_hde	EG50003-MONOMER	pan4p() AND hde()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_tpalm2e	EG50003-MONOMER	pan4p() AND tpalm2e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3opalm	EG50003-MONOMER	pan4p() AND 3opalm()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3hcpalm9e	EG50003-MONOMER	pan4p() AND 3hcpalm9e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_palm	EG50003-MONOMER	pan4p() AND palm()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3hpalm	EG50003-MONOMER	pan4p() AND 3hpalm()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_t3c11vace	EG50003-MONOMER	pan4p() AND t3c11vace()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3ocvac11e	EG50003-MONOMER	pan4p() AND 3ocvac11e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_toctd2e	EG50003-MONOMER	pan4p() AND toctd2e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_octe	EG50003-MONOMER	pan4p() AND octe()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3ooctd	EG50003-MONOMER	pan4p() AND 3ooctd()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3hcvac11e	EG50003-MONOMER	pan4p() AND 3hcvac11e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_ocdca	EG50003-MONOMER	pan4p() AND ocdca()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3hocta	EG50003-MONOMER	pan4p() AND 3hocta()	M_protein_recon
MiaB_mono_mod_1:4fe4s	MiaB_mono	4fe4s(1)	2011_Updated_E_recon
RumB_mono_mod_1:4fe4s	RumB_mono	4fe4s(1)	2011_Updated_E_recon
RumA_mono_mod_1:4fe4s	RumA_mono	4fe4s(1)	2011_Updated_E_recon
rpL7/12_mod_1:acetyl	rpL7/12	acetyl(1)	2011_Updated_E_recon
Def_mono_mod_1:fe2	Def_mono	fe2(1)	2011_Updated_E_recon
Map_mono_mod_2:fe2	Map_mono	fe2(2)	2011_Updated_E_recon
Mfd_mono_mod_1:mg2	Mfd_mono	mg2(1)	2011_Updated_E_recon
Rnb_mono_mod_1:mg2	Rnb_mono	mg2(1)	2011_Updated_E_recon
RluD_mono_mod_1:mg2	RluD_mono	mg2(1)	2011_Updated_E_recon
RpoZ_mono_mod_1:mg2	RpoZ_mono	mg2(1)	2011_Updated_E_recon
RNase_III_dim_mod_2:mg2	RNase_III_dim	mg2(2)	2011_Updated_E_recon
RNase_P_cplx_mod_2:mg2	RNase_P_cplx	mg2(2)	2011_Updated_E_recon
Orn_dim_mod_2:mg2	Orn_dim	mg2(2)	2011_Updated_E_recon
MiaA_dim_mod_2:mg2	MiaA_dim	mg2(2)	2011_Updated_E_recon
Rho_hexa_mod_3:mg2	Rho_hexa	mg2(3)	2011_Updated_E_recon
RNase_T_dim_mod_4:mg2	RNase_T_dim	mg2(4)	2011_Updated_E_recon
Rnd_mono_mod_5:mg2	Rnd_mono	mg2(5)	2011_Updated_E_recon
hRNAP_mod_1:zn2_mod_2:mg2	hRNAP	zn2(1) AND mg2(2)	2011_Updated_E_recon
#Dtd_dim_mod_12:zn2	Dtd_dim	zn2(12)	2011_Updated_E_recon
RNase_E_tetra_mod_2:zn2	RNase_E_tetra	zn2(2)	2011_Updated_E_recon
RrmA_dim_mod_2:zn2	RrmA_dim	zn2(2)	2011_Updated_E_recon
RNase_BN_dim_mod_2:zn2	RNase_BN_dim	zn2(2)	2011_Updated_E_recon
TadA_dim_mod_2:zn2	TadA_dim	zn2(2)	2011_Updated_E_recon
DnaJ_dim_mod_4:zn2	DnaJ_dim	zn2(4)	2011_Updated_E_recon
Tgt_hexa_mod_6:zn2	Tgt_hexa	zn2(6)	2011_Updated_E_recon
#RimK_mono_mod_2:mg2	RimK_mono	mg2(2)	2011_Updated_E_recon
#RimK_mono_mod_2:mn2	RimK_mono	mn2(2)	2011_Updated_E_recon
RlmN_mono_mod_1:4fe4s	RlmN_mono	4fe4s(1)	2011_Updated_E_recon
#RimO_mono_mod_2:4fe4s	RimO_mono	4fe4s(2)	2011_Updated_E_recon
MnmC_mono_mod_fad	MnmC_mono	fad()	2011_Updated_E_recon
MnmEG_cplx_mod_fad_mod_2:k	MnmEG_cplx	fad() AND k(2)	2011_Updated_E_recon
Rph_mono_mod_mg2	Rph_mono	mg2()	2011_Updated_E_recon
QueG_mono_mod_adocbl	QueG_mono	adocbl()	2011_Updated_E_recon
EG11653-MONOMER_mod_1:fe2	EG11653-MONOMER	fe2(1)	M_protein_recon
IscA_tetra_mod_1:4fe4s	IscA_tetra	4fe4s(1)	M_protein_recon
CPLX0-1341_mod_1:2fe2s_mod_1:2fe1s	CPLX0-1341	2fe2s(1) AND 2fe1s(1)	M_protein_recon
CPLX-7524_mod_mn2_mod_1:2fe2s	CPLX-7524	2fe2s(1) AND mn2()	M_protein_recon
IscS_mod_2:pydx5p_mod_1:SH	IscS	pydx5p(2) AND SH(1)	M_protein_recon
CPLX0-1341_mod_1:fe2	CPLX0-1341	fe2(1)	M_protein_recon
IscU_mod_1:fe2	IscU	fe2(1)	M_protein_recon
CPLX0-1341_mod_1:2fe2s_mod_2:fe2	CPLX0-1341	2fe2s(1) AND fe2(2)	M_protein_recon
CPLX0-246_CPLX0-1342_mod_pydx5p	CPLX0-246_CPLX0-1342	pydx5p()	M_protein_recon
CPLX0-1341_mod_1:2fe1s	CPLX0-1341	2fe1s(1)	M_protein_recon
CPLX0-7824_mod_1:4fe4s	CPLX0-7824	4fe4s(1)	M_protein_recon
IscU_mod_1:2fe2s_mod_2:fe2	IscU	2fe2s(1) AND fe2(2)	M_protein_recon
CPLX-7524_mod_mn2_mod_1:4fe4s	CPLX-7524	4fe4s(1) AND mn2()	M_protein_recon
CPLX0-7824_mod_1:2fe2s	CPLX0-7824	2fe2s(1)	M_protein_recon
CPLX0-246_CPLX0-1342_mod_pydx5p_mod_1:SH	CPLX0-246_CPLX0-1342	pydx5p() AND SH(1)	M_protein_recon
CPLX0-1341_mod_1:2fe2s_mod_1:fe2	CPLX0-1341	2fe2s(1) AND fe2(1)	M_protein_recon
IscU_mod_1:2fe2s_mod_1:fe2	IscU	2fe2s(1) AND fe2(1)	M_protein_recon
IscU_mod_2:fe2	IscU	fe2(2)	M_protein_recon
IscU_mod_1:2fe1s	IscU	2fe1s(1)	M_protein_recon
IscA_tetra_mod_1:2fe2s	IscA_tetra	2fe2s(1)	M_protein_recon
IscS_mod_2:pydx5p	IscS	pydx5p(2)	M_protein_recon
IscU_mod_1:2fe2s_mod_1:2fe1s	IscU	2fe2s(1) AND 2fe1s(1)	M_protein_recon
CPLX0-1341_mod_2:fe2	CPLX0-1341	fe2(2)	M_protein_recon
NAPAB-CPLX_NAPC-MONOMER_mod_bmocogdp	NAPAB-CPLX_NAPC-MONOMER	bmocogdp()	M_protein_recon
NAP-CPLX_mod_bmocogdp	NAP-CPLX	bmocogdp()	M_protein_recon
CPLX0-7838_CPLX0-7839_mod_pydx5p	CPLX0-7838_CPLX0-7839	pydx5p()	M_protein_recon
GLUCDEHYDROG-MONOMER_mod_pqq	GLUCDEHYDROG-MONOMER	pqq()	M_protein_recon
